weekday;inscription;name;address
DOMINGO;10308;VILA FORMOSA DOMINGO;AV TRUMAIN, S/N,VL FORMOSA,SÃO PAULO
DOMINGO;10316;VILA CARRAO DOMINGO;RUA COMEN GIL PINHEIRO, 325,VL CALIFORNIA,SÃO PAULO
DOMINGO;10499;VILA RICA DOMINGO;RUA PROF ALZIRA DE O GILIOLI, 1817,VL RICA,SÃO PAULO
DOMINGO;10553;VILA SANTA IZABEL DOMINGO;RUA LUIS PINTO, S/N,VL CARRAO,SÃO PAULO
TERÇA-FEIRA;30414;SANTA GERTRUDES TERÇA-FEIRA;RUA SANTA GERTRUDES, 575,TATUAPE,SÃO PAULO
TERÇA-FEIRA;30600;PARQUE MARIA LUIZA TERÇA-FEIRA;AV PROF CARLOS CALIOLLI, 130,PQ MARIA LUIZA,SÃO PAULO
TERÇA-FEIRA;30740;VILA NOVA YORK TERÇA-FEIRA;RUA MAL MARQUES PORTO, S/N,VL NOVA YORK,SÃO PAULO
TERÇA-FEIRA;34029;TIUBA TERÇA-FEIRA;RUA TIUBA,VL MANCHESTER,SÃO PAULO
QUARTA-FEIRA;40401;VILA NOVA MANCHESTER QUARTA-FEIRA;RUA SAO VALENTIM, 81,VL CARRAO,SÃO PAULO
QUARTA-FEIRA;40410;VILA FORMOSA QUARTA-FEIRA;RUA MARAGOJIPE, S/N,VL FORMOSA,SÃO PAULO
QUARTA-FEIRA;40576;ALFERES FRAZAO QUARTA-FEIRA;RUA DIAMANTE PRETO, 35,ARICANDUVA,SÃO PAULO
QUARTA-FEIRA;40592;VILA ANTONIETA QUARTA-FEIRA;RUA PETROBRAS, S/N,VL ANTONIETA,SÃO PAULO
QUARTA-FEIRA;41092;JARDIM RECORD QUARTA-FEIRA;AV DOS PEQUIS, 20,JD VL FORMOSA,SÃO PAULO
QUINTA-FEIRA;50334;VILA CARRAO QUINTA-FEIRA;RUA DENTISTA BARRETO, 516,VL CARRAO,SÃO PAULO
QUINTA-FEIRA;50342;VILA SANTA IZABEL QUINTA-FEIRA;RUA PIRAMBOIA, 463,VL STA IZABEL,SÃO PAULO
QUINTA-FEIRA;51101;CHACARA BELENZINHO QUINTA-FEIRA;PC PADRE AGENOR CARDIM, S/N,CHAC BELENZINHO,SÃO PAULO
QUINTA-FEIRA;51403;DEDO DE DEUS QUINTA-FEIRA;RUA ALFARO, S/N,VL RICA,SÃO PAULO
QUINTA-FEIRA;51861;CERET QUINTA-FEIRA;PC DO TRABALHADOR ( CERET ),VILA GOMES CARDIM,SÃO PAULO
SEXTA-FEIRA;60399;SAPOPEMBA SEXTA-FEIRA;RUA GRECCO, S/N,ALTO DA MOOCA,SÃO PAULO
SEXTA-FEIRA;60623;JARDIM ARICANDUVA SEXTA-FEIRA;AV ODILON PIRES, S/N,JD ARICANDUVA,SÃO PAULO
SEXTA-FEIRA;61085;JARDIM IVA SEXTA-FEIRA;RUA ROMILDO FINOZZI, 21,JD IVA,SÃO PAULO
SEXTA-FEIRA;61298;VILA MANCHESTER SEXTA-FEIRA;PC HAROLDO DALTRO, S/N,VL MANCHESTER,SÃO PAULO
SÁBADO;70300;SANTO ESTEVAO SÁBADO;RUA AREIAO, 51,TATUAPE,SÃO PAULO
SÁBADO;70394;VILA ARICANDUVA SÁBADO;RUA FRANCISCA DE PAULA, 278,VL CARRAO,SÃO PAULO
SÁBADO;70432;PRACA MANOEL ARIZA SÁBADO;AV ANTONIO MANOGRASSO, 234,VL FORMOSA,SÃO PAULO
SÁBADO;70599;JARDIM VILA FORMOSA SÁBADO;AV DOM AZEREDO COUTINHO, S/N,JD VL FORMOSA,SÃO PAULO
SÁBADO;70882;VILA CRUZEIRO SÁBADO;RUA MARIA FRANCISCA DO NASCIMENTO, 12,VL CRUZEIRO,SÃO PAULO
SÁBADO;71188;COHAB BARREIRA GRANDE SÁBADO;AV RUFINO FERNANDES INIVARRI, S/N,BARREIRA GRANDE,SÃO PAULO
SÁBADO;72729;AGUIAR DA BEIRA SÁBADO;RUA ANTONIO CALDEIRA,VILA ANTONIETA,SÃO PAULO
DOMINGO;10820;JARDIM ANGELA DOMINGO;RUA MARCELINO COELHO, S/N,JD ANGELA,SÃO PAULO
DOMINGO;10855;JARDIM SAO LUIZ DOMINGO;RUA ARRAIAL DOS COUROS,JD SAO LUIZ,SÃO PAULO
DOMINGO;10944;JARDIM CRIS DOMINGO;RUA ALBINO CORREA DE CAMPOS,VL REMO,SÃO PAULO
DOMINGO;11193;JARDIM RANIERI DOMINGO;RUA MANOEL DA COSTA DANTAS, 5786,JD RANIERI,SÃO PAULO
DOMINGO;11215;CORREGO DOS FREITAS DOMINGO;RUA MARIA BENEDITA RODRIGUES,PQ STO ANTONIO,SÃO PAULO
DOMINGO;11444;JARDIM DAS FLORES DOMINGO;AV INACIO DIAS DA SILVA, S/N,PIRAPORINHA,SÃO PAULO
DOMINGO;12564;CIDADE IPAVA DOMINGO;RUA IMBERE,CIDADE IPAVA,SÃO PAULO
TERÇA-FEIRA;30694;PARQUE SANTO ANTONIO TERÇA-FEIRA;RUA MARIA BENEDITA RODRIGUES, 10,PQ STO ANTONIO,SÃO PAULO
TERÇA-FEIRA;30872;PIRAPORINHA TERÇA-FEIRA;RUA ESTEVAM FERNANDES, S/N,PIRAPORINHA,SÃO PAULO
TERÇA-FEIRA;31011;JARDIM IBIRAPUERA TERÇA-FEIRA;RUA SALGUEIRO DO CAMPO, 110,JD IBIRAPUERA,SÃO PAULO
TERÇA-FEIRA;31062;ALTO DA RIVIEIRA TERÇA-FEIRA;RUA MONS JOAO PEDRO FUSENIG,JD STA GERTRUDES,SÃO PAULO
QUARTA-FEIRA;40819;JARDIM SAO LUIZ QUARTA-FEIRA;RUA ARRAIAL DOS COUROS,JD SAO LUIZ,SÃO PAULO
QUARTA-FEIRA;41408;PARQUE NOVO SANTO AMARO QUARTA-FEIRA;RUA ALBERTO BORGES SOVERAL, S/N,PQ NOVO STO AMARO,SÃO PAULO
QUINTA-FEIRA;50814;JARDIM VAZ DE LIMA QUINTA-FEIRA;RUA LUCA DE MARENZIO,JD VAZ DE LIMA,SÃO PAULO
QUINTA-FEIRA;50849;PARQUE FIGUEIRA GRANDE QUINTA-FEIRA;RUA BELCHIOR FELIX,PQ FIG GRANDE,SÃO PAULO
SEXTA-FEIRA;60810;VILA REMO SEXTA-FEIRA;RUA ITAPAROQUERA,VL REMO,SÃO PAULO
SEXTA-FEIRA;60933;ESTRADA DA MOENDA VELHA SEXTA-FEIRA;ES DA MOENDA VELHA,JD INDEPENDENCIA,SÃO PAULO
SEXTA-FEIRA;60984;VILA SANTA LUCIA SEXTA-FEIRA;RUA CARMELO CALI,VL STA LUCIA,SÃO PAULO
SÁBADO;70700;JARDIM VERGUEIRO SÁBADO;RUA ANTONIO VAZ, S/N,JD VERGUEIRO,SÃO PAULO
SÁBADO;70769;VILA DAS BELEZAS SÁBADO;RUA BERNARDINO ESTAZIONE,VL DAS BELEZAS,SÃO PAULO
SÁBADO;71110;JARDIM IMBE SÁBADO;RUA ERASMUS GRASSER,JD IMBE,SÃO PAULO
SÁBADO;72630;CDHU JARDIM SAO LUIZ-A SÁBADO;RUA ANDRE LENS, 00010,JARDIM SAO LUIZ,SÃO PAULO
SÁBADO;74004;SAO LUIS SÁBADO;RUA JOSE RODRIGUES MACIEL,SAO LUIS,SÃO PAULO
DOMINGO;10928;PARELHEIROS DOMINGO;PC PEDRO ROCHA, S/N,PARELHEIROS,SÃO PAULO
DOMINGO;12467;VILA VARGEM GRANDE II DOMINGO;RUA BEIJA FLOR,VILA VARGEM GRANDE,SÃO PAULO
DOMINGO;12629;JARDIM IPORA DOMINGO;RUA FORTE DO GUARA,PARELHEIROS,SÃO PAULO
TERÇA-FEIRA;31321;JARDIM DOS ALAMOS TERÇA-FEIRA;RUA HENRIQUE ROSCHEL CHRISTI, S/N,JD DOS ALAMOS,SÃO PAULO
QUARTA-FEIRA;41882;RECANTO CAMPO BELO QUARTA-FEIRA;RUA MARIA DA COSTA BEZERRA,PARELHEIROS,SÃO PAULO
QUINTA-FEIRA;51110;BARRO BRANCO QUINTA-FEIRA;RUA MARIO WILCHES, S/N,JD MARIA BORBA,SÃO PAULO
SÁBADO;72338;VILA VARGEM GRANDE I SÁBADO;RUA IPE ROXO,VILA VARGEM GRANDE,SÃO PAULO
SÁBADO;72486;BALNEARIO SAO JOSE SÁBADO;RUA VIRAPURU DO SERTAO,PARELHEIROS,SÃO PAULO
DOMINGO;10294;VILA MORSE DOMINGO;RUA IBIAPABA,VL SONIA,SÃO PAULO
DOMINGO;10480;SAO DOMINGOS DOMINGO;RUA JOSE JOAQUIM SEABRA,VL TIRADENTES,SÃO PAULO
DOMINGO;10740;JARDIM ARPOADOR DOMINGO;RUA ADERBAL STRESSER,JD ARPOADOR,SÃO PAULO
DOMINGO;11142;CONJ RESIDENCIAL DO BUTANTA DOMINGO;RUA LUIS ANTONIO MARTINS, S/N,BUTANTA,SÃO PAULO
DOMINGO;11290;RAPOSO TAVARES DOMINGO;RUA GABRIEL DE CARVALHO,JD BOA VISTA,SÃO PAULO
